Team,ATS Record,Cover %,MOV,ATS +/-
Fordham,155-176-3,46.8%,0.3,-0.8
Sac State,117-133-7,46.8%,2.6,-0.6
NC State,187-213-13,46.8%,9.5,-0.3
Idaho,140-160-4,46.7%,3.0,-0.8
CS Fullerton,137-157-8,46.6%,5.1,-1.0
Cal St Nrdge,126-145-3,46.5%,4.6,-1.6
Pepperdine,152-175-4,46.5%,2.2,-1.5
E Carolina,145-167-8,46.5%,3.6,-1.0
Portland,151-174-11,46.5%,2.3,-1.2
Oakland,85-98-2,46.5%,7.3,-1.4
N Dakota St,72-83-1,46.5%,13.7,+0.3
Canisius,130-150-4,46.4%,1.7,-1.5
Brown,109-126-8,46.4%,2.4,-1.0
Florida Intl,133-154-8,46.3%,3.1,-0.8
Rice,143-166-10,46.3%,3.6,-0.3
Sacred Hrt,37-43-1,46.3%,1.6,-0.8
Kennesaw St,43-50-2,46.2%,1.2,0.0
Montana St,123-143-6,46.2%,7.7,-0.7
Cal Baptist,42-49-0,46.2%,11.8,-0.3
Bucknell,53-62-0,46.1%,7.8,-0.9
N Arizona,117-137-5,46.1%,7.0,-1.0
W Carolina,108-127-4,46.0%,7.3,-0.1
Hsn Christian,34-40-2,46.0%,4.6,-1.2
S Carolina,169-199-6,45.9%,6.6,-0.9
U Penn,140-165-9,45.9%,5.0,-0.7
NC-Grnsboro,126-149-10,45.8%,6.1,-0.1
Delaware,120-142-9,45.8%,3.5,-1.3
S Florida,169-200-7,45.8%,2.3,-1.4
DePaul,181-215-6,45.7%,1.7,-1.1
Boston Col,163-194-8,45.7%,3.9,-1.4
Fairfield,131-156-5,45.6%,2.8,-1.5
Harvard,109-130-2,45.6%,6.1,-0.9
Grambling St,26-31-1,45.6%,2.8,0.0
N Illinois,145-173-6,45.6%,2.4,-0.8
UC Davis,83-100-4,45.4%,3.0,-1.3
Elon,102-123-3,45.3%,4.4,-1.0
Northeastrn,95-115-7,45.2%,4.4,-1.0
Fresno St,167-203-6,45.1%,7.9,-0.4
St Peters,114-139-6,45.1%,1.1,-0.8
Cal Poly,127-155-6,45.0%,2.3,-1.2
McNeese St,31-38-0,44.9%,8.2,-1.8
Tulane,139-171-3,44.8%,3.9,-1.2
Duquesne,151-186-4,44.8%,2.8,-1.2
Lehigh,47-58-1,44.8%,5.6,-1.3
San Francisco,157-194-4,44.7%,6.9,-0.5
Nicholls,25-31-1,44.6%,7.3,+0.2
Col Charlestn,129-160-4,44.6%,9.4,-1.1
SE Missouri,112-139-5,44.6%,3.6,-1.1
Jksnville St,95-118-4,44.6%,5.4,-1.2
San Diego,147-183-6,44.6%,3.6,-0.9
S Utah,76-95-2,44.4%,5.7,-1.3
E Kentucky,112-140-9,44.4%,8.3,-1.1
Loyola Mymt,149-187-4,44.4%,0.4,-1.6
