Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
32,44.2,5:30 PM,Ocean Center,333,Stetson,135,Toledo,Stetson,Stetson,Toledo,Toledo,+13,−108,True,-13,−112,False,Stetson,119-107-7,52.7%,-3.7,0.2,67-53-5,55.8%,-9.9,0.0,Toledo,398-380-12,51.2%,2.4,0.3,174-164-5,51.5%,8.6,1.0,Stetson,+13,−108,90-74-6,54.9%,-9.1,0.7,Toledo,-13,−112,230-204-5,53.0%,8.2,0.8
33,40.5,7:00 PM,Merkert Gymnasium,149,Bryant,348,Stonehill,Bryant,Bryant,,Stonehill,-12,−105,False,N/A,N/A,False,Bryant,101-121-4,45.5%,-3.6,-0.9,52-67-2,43.7%,-8.8,-1.0,Stonehill,27-38-0,41.5%,-7.6,-1.3,10-11-0,47.6%,1.0,-1.9,Stonehill,N/A,N/A,20-31-0,39.2%,-12.2,-1.2,Bryant,-12,−105,53-56-1,48.6%,6.4,-0.5
34,33.8,7:00 PM,OU Credit Union O'rena,323,E Michigan,224,Oakland,Eastern Michigan,Eastern Michigan,Oakland,Oakland,+8,−112,True,-8,−108,False,E Michigan,337-376-8,47.3%,-2.0,-0.8,161-195-2,45.2%,-9.1,-0.9,Oakland,247-220-6,52.9%,1.0,-0.1,85-97-2,46.7%,7.3,-1.3,E Michigan,+8,−112,212-266-5,44.4%,-9.5,-1.1,Oakland,-8,−108,131-132-3,49.8%,7.2,-0.5
35,30.6,8:00 PM,William H. Pitt Health and Recreation Center,243,Central Conn,326,Sacred Hrt,Central Connecticut State,Central Conn. St.,Sacred Heart,Sacred Heart,-3,−112,False,+3,−108,True,Central Conn,106-124-3,46.1%,-2.3,-0.8,67-58-2,53.6%,-6.1,0.7,Sacred Hrt,105-116-2,47.5%,-3.3,-0.5,36-43-1,45.6%,1.6,-1.0,Sacred Hrt,+3,−108,57-66-1,46.3%,-8.7,-0.6,Central Conn,-3,−112,23-34-0,40.4%,1.4,-3.4
36,25.7,7:00 PM,Sojka Pavilion,359,Njit,228,Bucknell,,NJIT,Bucknell,Bucknell,N/A,N/A,False,N/A,N/A,False,Njit,105-111-4,48.6%,-3.8,-1.2,62-53-2,53.9%,-10.3,0.3,Bucknell,137-138-2,49.8%,1.9,0.1,52-61-0,46.0%,7.8,-0.9,Bucknell,N/A,N/A,71-70-1,50.4%,-7.5,0.4,Njit,N/A,N/A,33-42-1,44.0%,1.9,-3.5
36,25.7,8:00 PM,Athletics-Recreation Center,351,Lindenwood,246,Valparaiso,,Lindenwood,Valparaiso,Valparaiso,N/A,N/A,False,-10.5,−112,False,Lindenwood,27-33-1,45.0%,-6.3,-1.2,12-20-1,37.5%,-16.4,-1.7,Valparaiso,267-261-13,50.6%,3.2,0.0,112-113-6,49.8%,9.5,0.0,Valparaiso,-10.5,−112,133-132-7,50.2%,-7.5,0.1,Lindenwood,N/A,N/A,2-3-0,40.0%,-1.0,-3.0
38,15.5,7:30 PM,Farris Center,315,Se Missouri,344,Central Ark,,SE Missouri St.,,Central Arkansas,N/A,N/A,False,N/A,N/A,False,Se Missouri,294-329-19,47.2%,-2.1,-0.3,156-169-12,48.0%,-7.7,0.1,Central Ark,97-101-7,49.0%,-6.4,-1.1,36-30-2,54.6%,2.7,-0.3,Central Ark,N/A,N/A,82-84-5,49.4%,-13.4,-1.1,Se Missouri,N/A,N/A,83-94-2,46.9%,4.0,-0.9
39,--,8:00 PM,Scheels Center,0,Minnesota-Crookston,230,N Dakota St,0,0,North Dakota State,North Dakota State,N/A,N/A,False,N/A,N/A,False,0,0,0,0.0,0.0,0,0,0.0,0.0,N Dakota St,207-226-4,47.8%,4.7,0.4,72-83-1,46.5%,13.7,0.3,N Dakota St,N/A,N/A,74-91-2,44.9%,-7.4,0.3,Minnesota-Crookston,N/A,N/A,0,0,0.0,0.0
39,--,8:00 PM,LeRoy A. Ufkes Court at Western Hall,0,Monmouth (Il),330,W Illinois,0,0,Western Illinois,Western Illinois,N/A,N/A,False,N/A,N/A,False,0,0,0,0.0,0.0,0,0,0.0,0.0,W Illinois,170-200-5,46.0%,-3.3,-0.9,69-87-2,44.2%,4.0,-1.0,W Illinois,N/A,N/A,119-135-3,46.9%,-9.3,-0.6,Monmouth (Il),N/A,N/A,0,0,0.0,0.0
39,--,8:00 PM,UNT Coliseum,0,Texas Wesleyan,87,North Texas,0,0,North Texas,North Texas,N/A,N/A,False,N/A,N/A,False,0,0,0,0.0,0.0,0,0,0.0,0.0,North Texas,358-336-17,51.6%,0.4,0.1,144-153-3,48.5%,7.3,-0.2,North Texas,N/A,N/A,203-188-10,51.9%,-8.9,0.4,Texas Wesleyan,N/A,N/A,0,0,0.0,0.0
39,--,7:30 PM,Bernard G. Johnson Coliseum,0,Trinity (Tx),117,Sam Hous St,0,0,Sam Houston,Sam Houston St.,N/A,N/A,False,N/A,N/A,False,0,0,0,0.0,0.0,0,0,0.0,0.0,Sam Hous St,137-108-6,55.9%,4.9,1.1,43-29-1,59.7%,14.1,2.1,Sam Hous St,N/A,N/A,60-59-3,50.4%,-8.7,-0.2,Trinity (Tx),N/A,N/A,0,0,0.0,0.0
39,--,7:00 PM,UNF Arena,0,Edward Waters,175,N Florida,0,0,North Florida,North Florida,N/A,N/A,False,N/A,N/A,False,0,0,0,0.0,0.0,0,0,0.0,0.0,N Florida,141-116-2,54.9%,-3.2,1.1,55-37-1,59.8%,6.1,2.9,N Florida,N/A,N/A,91-67-2,57.6%,-10.3,1.6,Edward Waters,N/A,N/A,0,0,0.0,0.0
39,--,7:00 PM,McKenzie Arena,0,Johnson University,184,Chattanooga,0,0,Chattanooga,Chattanooga,N/A,N/A,False,N/A,N/A,False,0,0,0,0.0,0.0,0,0,0.0,0.0,Chattanooga,319-334-15,48.9%,2.4,-0.5,133-142-8,48.4%,9.5,-0.8,Chattanooga,N/A,N/A,156-161-5,49.2%,-7.9,0.1,Johnson University,N/A,N/A,0,0,0.0,0.0
